year,median,average,men_median,men_average,women_median,women_average,white_median,white_average,black_median,black_average,hispanic_median,hispanic_average,white_men_median,white_men_average,black_men_median,black_men_average,hispanic_men_median,hispanic_men_average,white_women_median,white_women_average,black_women_median,black_women_average,hispanic_women_median,hispanic_women_average,recent_high-school_graduate,men_recent_high-school_graduate,women_recent_high-school_graduate,recent_college_graduate,men_recent_college_graduate,women_recent_college_graduate
2005,21.03,26.69,22.86,29.57,18.75,23.57,22.63,28.56,17.86,21.85,15.7,20.04,25.59,32.18,18.64,22.99,16.59,21.11,20.04,24.71,16.64,20.9,14.96,18.43,13.3,14.3,12.05,22.24,24.03,20.98
2004,21.35,26.88,23.39,29.95,18.87,23.56,23.18,28.67,18.57,22.35,15.68,20.24,26.21,32.52,19.42,23.78,16.83,21.21,20.14,24.59,17.65,21.16,15.38,18.81,13.54,14.48,12.39,22.66,23.72,21.89
2003,21.11,26.85,23.81,29.85,19.13,23.65,23.08,28.65,18.42,22.35,16.03,20.22,26.08,32.42,19.25,23.46,16.77,21.32,20.07,24.7,17.53,21.43,15.2,18.6,13.7,14.45,12.77,22.29,23.19,21.63
2002,21.1,26.8,23.72,29.89,18.94,23.44,22.93,28.62,18.05,21.97,16.23,19.98,26.05,32.41,19.49,23.16,16.48,21.17,19.82,24.56,17.07,20.97,14.77,18.27,13.56,14.46,12.48,23.12,25.03,21.83
2001,20.78,26.32,23.39,29.42,18.39,22.95,22.72,28.08,17.58,21.59,16.12,19.63,25.82,31.86,19.0,22.92,16.58,20.65,19.72,24.0,16.63,20.48,14.85,18.13,13.76,14.61,12.8,23.36,25.2,22.04
2000,20.47,25.84,23.24,29.01,18.02,22.39,22.06,27.47,17.48,21.49,15.38,19.34,25.56,31.34,18.77,22.97,16.34,20.46,18.87,23.3,16.92,20.24,14.17,17.69,13.88,14.84,12.73,23.15,24.23,22.39
1999,20.35,25.53,22.96,28.69,17.75,22.09,21.81,27.06,17.53,21.09,15.37,19.29,25.39,30.77,18.88,22.65,16.22,20.59,18.7,23.01,16.04,19.78,14.11,17.47,13.52,14.44,12.35,22.86,23.9,22.17
1998,19.85,24.94,22.45,27.89,17.83,21.71,21.48,26.42,17.11,20.67,15.15,18.97,24.79,29.98,18.07,22.0,16.11,20.1,18.16,22.56,16.13,19.52,14.15,17.31,13.01,13.69,12.23,22.5,24.95,20.67
1997,19.16,24.16,21.87,27.02,17.12,21.02,20.75,25.59,16.3,19.76,14.56,18.26,23.81,29.02,17.33,21.07,15.31,19.27,18.06,21.87,15.33,18.62,13.35,16.73,12.37,13.14,11.43,20.46,22.0,19.34
1996,18.78,23.72,21.51,26.53,16.8,20.65,20.38,25.07,15.95,19.3,14.67,18.04,23.36,28.42,16.9,20.4,14.97,18.93,17.59,21.43,15.03,18.33,13.42,16.72,12.05,12.83,11.06,19.65,20.11,19.32
1995,19.09,23.72,21.64,26.61,16.8,20.54,20.19,24.97,15.99,19.76,14.27,18.01,23.16,28.41,17.2,20.87,15.12,19.01,17.36,21.2,15.21,18.76,13.4,16.53,12.03,13.04,10.92,19.39,20.44,18.63
1994,19.36,23.82,21.53,26.6,16.83,20.76,19.86,24.99,15.87,19.98,14.48,18.48,23.43,28.29,17.19,21.26,15.34,19.34,17.53,21.38,15.18,18.81,13.65,17.19,12.06,13.0,11.0,19.99,21.36,18.96
1993,19.58,23.42,21.81,26.22,16.96,20.35,20.11,24.52,16.12,19.62,14.82,18.31,23.79,27.87,17.27,20.68,15.41,19.18,17.58,20.9,15.51,18.66,13.92,17.02,11.56,12.27,10.74,20.02,20.97,19.32
1992,19.28,23.3,21.76,26.2,16.67,20.11,20.41,24.38,16.23,19.4,14.95,18.31,23.64,27.85,17.19,20.46,15.55,19.22,17.36,20.61,15.34,18.44,14.1,16.93,11.9,12.48,11.25,19.94,20.65,19.39
1991,19.09,23.28,21.75,26.35,16.7,19.86,20.7,24.37,16.12,19.34,14.82,18.14,23.73,28.02,17.25,20.57,15.62,19.13,17.04,20.35,15.27,18.19,13.71,16.65,12.1,12.84,11.31,20.66,21.84,19.77
1990,19.25,23.18,21.93,26.41,16.45,19.54,20.39,24.27,16.29,19.11,15.03,18.26,23.96,28.04,17.5,20.55,15.52,19.49,17.13,20.05,15.16,17.77,13.63,16.38,12.39,13.17,11.52,21.45,22.81,20.46
1989,19.28,23.24,22.8,26.66,16.49,19.4,20.35,24.23,16.2,19.27,15.19,18.63,24.09,28.16,17.52,20.66,16.44,20.04,17.01,19.81,15.13,17.94,13.8,16.54,12.39,13.35,11.34,21.19,22.06,20.55
1988,19.32,23.87,23.61,27.82,16.59,19.38,20.41,24.85,16.65,19.96,15.47,18.88,24.1,29.34,18.18,21.97,16.86,20.49,16.92,19.77,14.98,18.02,14.08,16.51,,,,,,
1987,19.58,23.68,23.55,27.65,16.25,19.13,20.31,24.62,16.32,19.63,15.65,19.04,24.72,29.11,18.32,21.57,17.31,20.61,16.81,19.49,14.98,17.77,14.12,16.66,,,,,,
1986,19.36,23.54,23.47,27.56,16.05,18.9,20.35,24.42,16.29,19.46,15.67,19.2,25.36,28.94,18.24,21.41,17.67,20.93,16.36,19.21,15.04,17.57,13.8,16.56,,,,,,
1985,19.23,22.99,23.23,26.88,15.77,18.42,19.76,23.83,15.95,19.06,15.68,18.89,24.79,28.18,17.9,20.86,17.15,20.63,16.02,18.7,14.62,17.31,13.64,16.23,,,,,,
1984,18.94,22.74,23.12,26.63,15.66,18.13,19.82,23.49,15.97,19.03,15.76,18.69,24.17,27.72,18.21,21.16,17.33,20.7,15.95,18.4,14.2,16.93,13.58,15.91,,,,,,
1983,18.85,22.66,22.96,26.63,15.4,17.97,19.58,23.35,16.0,19.1,15.59,18.76,24.41,27.67,17.98,21.26,17.26,20.69,15.67,18.19,14.23,16.95,13.76,15.96,,,,,,
1982,18.81,22.62,23.39,26.6,15.12,17.85,19.74,23.31,15.92,18.87,15.73,18.81,24.6,27.65,18.24,20.97,17.76,20.71,15.44,18.06,14.44,16.8,13.94,16.02,,,,,,
1981,18.89,22.42,23.38,26.38,15.29,17.55,19.43,23.08,16.04,19.06,15.6,18.77,24.6,27.37,18.9,21.31,17.85,20.78,15.41,17.73,14.36,16.78,13.55,15.68,,,,,,
1980,19.09,22.54,23.88,26.54,15.21,17.54,19.91,23.19,16.46,19.16,16.29,19.01,25.08,27.51,18.7,21.4,18.03,21.05,15.41,17.71,14.12,16.85,13.64,15.83,,,,,,
1979,19.21,23.0,24.11,27.08,15.28,17.73,19.97,23.66,16.69,19.56,16.47,19.32,25.51,28.03,19.15,22.0,18.83,21.56,15.47,17.91,14.46,16.95,13.53,15.82,,,,,,
1978,19.54,22.8,24.27,26.86,15.17,17.5,20.26,23.46,16.2,19.09,16.14,18.79,25.08,27.81,19.74,21.38,18.34,21.01,15.4,17.68,14.0,16.76,13.74,15.29,,,,,,
1977,19.36,22.75,23.92,26.73,15.11,17.44,20.0,23.38,16.23,18.93,16.15,19.21,24.94,27.66,18.7,20.84,18.61,21.53,15.33,17.57,14.06,16.91,13.25,15.45,,,,,,
1976,19.34,22.88,23.69,26.73,15.22,17.64,20.06,23.47,16.25,19.2,16.2,18.98,24.32,27.54,19.19,21.57,18.56,21.07,15.42,17.79,13.97,16.73,13.77,15.84,,,,,,
1975,19.39,22.62,24.08,26.46,15.08,17.24,19.96,23.3,16.15,18.46,16.12,18.36,24.68,27.37,19.15,20.6,18.43,20.39,15.32,17.45,13.41,16.14,13.5,15.07,,,,,,
1974,19.38,22.57,23.7,26.48,14.88,17.01,20.04,23.21,16.07,18.36,16.22,19.04,24.55,27.34,19.02,20.84,18.6,21.14,15.22,17.23,13.46,15.68,13.26,15.42,,,,,,
1973,19.77,22.99,24.0,26.96,15.1,17.31,20.53,23.72,15.96,18.61,16.37,18.71,24.98,27.93,19.29,21.09,18.67,20.67,15.36,17.57,13.38,15.83,13.78,15.39,,,,,,
